year,block,main_plot,fym_factor_level,rotation_type,rotation_factor_level,johnston_rotation_code,bulk_density,percent_soc,percent_n,note_id
1964,1,9,none,alternating,Ar/Lu,LN8,1.508,0.760,*,*
1964,1,10,FYM,alternating,Ar/Lu,LN8,1.508,0.880,*,*
1964,1,11,FYM,alternating,Lu/Ar,LN8,1.508,1.020,*,*
1964,1,12,none,alternating,Lu/Ar,LN8,1.508,1.020,*,*
1964,1,13,FYM,ley_arable,L,LN3,1.388,1.030,*,*
1964,1,14,none,ley_arable,L,LN3,1.388,0.920,*,*
1964,1,15,none,alternating,Ah/L,LC8,1.508,0.930,*,*
1964,1,16,FYM,alternating,Ah/L,LC8,1.508,1.210,*,*
1965,3,33,FYM,ley_arable,Lu,LC3,1.388,0.990,*,*
1965,3,34,none,ley_arable,Lu,LC3,1.388,0.840,*,*
1965,3,35,FYM,alternating,Ar/Lu,LN8,1.508,1.120,*,*
1965,3,36,none,alternating,Ar/Lu,LN8,1.508,1.010,*,*
1965,3,37,none,alternating,Lu/Ar,LN8,1.508,0.860,*,*
1965,3,38,FYM,alternating,Lu/Ar,LN8,1.508,0.950,*,*
1965,3,39,FYM,arable,Ar,AF,1.508,0.980,*,*
1965,3,40,none,arable,Ar,AF,1.508,0.880,*,*
1965,3,41,none,alternating,L/Ah,LC8,1.508,0.850,*,*
1965,3,42,FYM,alternating,L/Ah,LC8,1.508,1.060,*,*
1965,3,43,none,ley_arable,L,LN3,1.388,1.140,*,*
1965,3,44,FYM,ley_arable,L,LN3,1.388,1.420,*,*
1965,3,45,none,arable,Ah,AB,1.508,0.900,*,*
1965,3,46,FYM,arable,Ah,AB,1.508,1.050,*,*
1965,3,47,none,alternating,Ah/L,LC8,1.508,0.980,*,*
1965,3,48,FYM,alternating,Ah/L,LC8,1.508,1.250,*,*
1966,5,65,none,ley_arable,L,LN3,1.388,1.100,*,*
1966,5,66,FYM,ley_arable,L,LN3,1.388,1.260,*,*
1966,5,67,FYM,arable,Ah,AB,1.508,1.140,*,*
1966,5,68,none,arable,Ah,AB,1.508,1.150,*,*
1966,5,69,none,alternating,Lu/Ar,LN8,1.508,0.910,*,*
1966,5,70,FYM,alternating,Lu/Ar,LN8,1.508,1.010,*,*
1966,5,71,none,alternating,Ar/Lu,LN8,1.508,1.040,*,*
1966,5,72,FYM,alternating,Ar/Lu,LN8,1.508,1.170,*,*
1966,5,73,FYM,arable,Ar,AF,1.508,0.910,*,*
1966,5,74,none,arable,Ar,AF,1.508,0.920,*,*
1966,5,75,FYM,alternating,Ah/L,LC8,1.508,1.166,*,*
1966,5,76,none,alternating,Ah/L,LC8,1.508,1.157,*,*
1966,5,77,FYM,alternating,L/Ah,LC8,1.508,1.050,*,*
1966,5,78,none,alternating,L/Ah,LC8,1.508,0.950,*,*
1966,5,79,none,ley_arable,Lu,LC3,1.388,0.950,*,*
1966,5,80,FYM,ley_arable,Lu,LC3,1.388,1.200,*,*
1967,4,49,FYM,alternating,Ah/L,LC8,1.508,1.140,*,*
1967,4,50,none,alternating,Ah/L,LC8,1.508,1.130,*,*
1967,4,51,none,alternating,Ar/Lu,LN8,1.508,1.080,*,*
1967,4,52,FYM,alternating,Ar/Lu,LN8,1.508,1.260,*,*
1967,4,53,none,arable,Ah,AB,1.508,1.040,*,*
1967,4,54,FYM,arable,Ah,AB,1.508,1.190,*,*
1967,4,55,none,alternating,L/Ah,LC8,1.508,1.150,*,*
1967,4,56,FYM,alternating,L/Ah,LC8,1.508,1.390,*,*
1967,4,57,FYM,ley_arable,L,LN3,1.388,1.370,*,*
1967,4,58,none,ley_arable,L,LN3,1.388,1.300,*,*
1967,4,59,FYM,ley_arable,Lu,LC3,1.388,1.270,*,*
1967,4,60,none,ley_arable,Lu,LC3,1.388,1.250,*,*
1967,4,61,none,alternating,Lu/Ar,LN8,1.508,1.040,*,*
1967,4,62,FYM,alternating,Lu/Ar,LN8,1.508,1.250,*,*
1967,4,63,FYM,arable,Ar,AF,1.508,1.190,*,*
1967,4,64,none,arable,Ar,AF,1.508,1.150,*,*
1968,2,17,none,arable,Ah,AB,1.508,0.740,*,*
1968,2,18,FYM,arable,Ah,AB,1.508,0.940,*,*
1968,2,19,none,arable,Ar,AF,1.508,0.770,*,*
1968,2,20,FYM,arable,Ar,AF,1.508,1.020,*,*
1968,2,21,FYM,alternating,Ah/L,LC8,1.508,0.910,*,*
1968,2,22,none,alternating,Ah/L,LC8,1.508,0.840,*,*
1968,2,23,none,alternating,L/Ah,LC8,1.508,0.850,*,*
1968,2,24,FYM,alternating,L/Ah,LC8,1.508,1.160,*,*
1968,2,25,FYM,alternating,Lu/Ar,LN8,1.508,0.950,*,*
1968,2,26,none,alternating,Lu/Ar,LN8,1.508,0.810,*,*
1968,2,27,none,alternating,Ar/Lu,LN8,1.508,0.960,*,*
1968,2,28,FYM,alternating,Ar/Lu,LN8,1.508,1.170,*,*
1968,2,29,none,ley_arable,Lu,LC3,1.388,0.830,*,*
1968,2,30,FYM,ley_arable,Lu,LC3,1.388,0.900,*,*
1968,2,31,none,ley_arable,L,LN3,1.388,1.100,*,*
1968,2,32,FYM,ley_arable,L,LN3,1.388,1.350,*,*
1969,1,1,FYM,arable,Ah,AB,1.508,0.870,*,*
1969,1,2,none,arable,Ah,AB,1.508,0.920,*,*
1969,1,3,none,ley_arable,Lu,LC3,1.388,0.890,*,*
1969,1,4,FYM,ley_arable,Lu,LC3,1.388,1.290,*,*
1969,1,5,FYM,arable,Ar,AF,1.508,0.800,*,*
1969,1,6,none,arable,Ar,AF,1.508,0.680,*,*
1969,1,7,none,alternating,L/Ah,LC8,1.508,0.990,*,*
1969,1,8,FYM,alternating,L/Ah,LC8,1.508,1.300,*,*
1969,1,9,none,alternating,Ar/Lu,LN8,1.508,0.860,*,*
1969,1,10,FYM,alternating,Ar/Lu,LN8,1.508,1.030,*,*
