year,block,main_plot,split_plot,plot_code,previous_FYM_factor_level,N_factor_level,N_factor_code,N_fertilizer_amount,number_of_N_applications,rotation_factor_level,basal_P_kg,date_P,basal_K_kg,date_K,basal_S_kg,date_S,cultivar,sow_date,harvest_date,grain_yield,note_id
1978,4,59,2,59.200,FYM,FA:N1,N63,63,1,Lc3,62.000,1977-10-25,62.000,1977-10-25,0.000,*,Cappelle,1977-10-25,1978-08-25,5.601,*
1978,4,59,3,59.300,FYM,FA:N3,N189,189,1,Lc3,62.000,1977-10-25,62.000,1977-10-25,0.000,*,Cappelle,1977-10-25,1978-08-25,5.719,*
1978,4,59,4,59.400,FYM,FA:N2,N126,126,1,Lc3,62.000,1977-10-25,62.000,1977-10-25,0.000,*,Cappelle,1977-10-25,1978-08-25,5.484,*
1978,4,60,1,60.100,none,FA:N0,N0,0,0,Lc3,62.000,1977-10-25,62.000,1977-10-25,0.000,*,Cappelle,1977-10-25,1978-08-25,3.395,*
1978,4,60,2,60.200,none,FA:N1,N63,63,1,Lc3,62.000,1977-10-25,62.000,1977-10-25,0.000,*,Cappelle,1977-10-25,1978-08-25,5.146,*
1978,4,60,3,60.300,none,FA:N3,N189,189,1,Lc3,62.000,1977-10-25,62.000,1977-10-25,0.000,*,Cappelle,1977-10-25,1978-08-25,5.170,*
1978,4,60,4,60.400,none,FA:N2,N126,126,1,Lc3,62.000,1977-10-25,62.000,1977-10-25,0.000,*,Cappelle,1977-10-25,1978-08-25,5.348,*
1978,4,61,1,61.100,none,FA:N0,N0,0,0,LLc8,62.000,1977-10-25,62.000,1977-10-25,0.000,*,Cappelle,1977-10-25,1978-08-25,2.804,*
1978,4,61,2,61.200,none,FA:N1,N63,63,1,LLc8,62.000,1977-10-25,62.000,1977-10-25,0.000,*,Cappelle,1977-10-25,1978-08-25,4.742,*
1978,4,61,3,61.300,none,FA:N2,N126,126,1,LLc8,62.000,1977-10-25,62.000,1977-10-25,0.000,*,Cappelle,1977-10-25,1978-08-25,5.484,*
1978,4,61,4,61.400,none,FA:N3,N189,189,1,LLc8,62.000,1977-10-25,62.000,1977-10-25,0.000,*,Cappelle,1977-10-25,1978-08-25,5.498,*
1978,4,62,1,62.100,FYM,FA:N0,N0,0,0,LLc8,62.000,1977-10-25,62.000,1977-10-25,0.000,*,Cappelle,1977-10-25,1978-08-25,3.095,*
1978,4,62,2,62.200,FYM,FA:N1,N63,63,1,LLc8,62.000,1977-10-25,62.000,1977-10-25,0.000,*,Cappelle,1977-10-25,1978-08-25,4.899,*
