site,plot_id,plot,split_plot,sub_plot,year_of_split,subsequent_plots_1,year_of_split_1,subsequent_plots_2,year_of_split_2,harvest_year,treatments,n_factor_level,n_rate,p_factor_level,p_rate,k_factor_level,k_rate,mg_factor_level,mg_rate,na_factor_level,na_rate,si_factor_level,si_rate,liming_factor_level,liming_rate,fym_factor_level,fym_rate,fm_factor_level,fm_n_rate,start_cut_1,end_cut_1,start_cart_1,end_cart_1,harvest_area_cut_1,yield_dry_matter_cut_1,yield_dry_matter_cut_1_forage_harvester,start_cut_2,end_cut_2,start_cart_cut_2,end_cart_cut_2,harvest_area_cut_2,yield_dry_matter_cut_2,note_id
Rothamsted,1U,1,*,U,1903.000,1c 1 d,1965,*,*,1904,N1,N1,48,0,0,0,0,0,0,0,0,0,0,U,0.000,0,0,0,0,1904-06-30,1904-06-30,1904-07-04,1904-07-04,0.050,2.981,*,1904-10-04,1904-10-25,1904-10-27,1904-10-27,0.099,0.310,"1, 7, 8"
Rothamsted,1U,1,*,U,1903.000,1c 1 d,1965,*,*,1905,N1,N1,48,0,0,0,0,0,0,0,0,0,0,U,0.000,0,0,0,0,1905-07-08,1905-07-08,1905-07-12,1905-07-12,0.078,2.399,*,1905-09-25,1905-09-26,1905-10-03,1905-10-03,0.099,0.341,"1, 8, 9"
Rothamsted,1U,1,*,U,1903.000,1c 1 d,1965,*,*,1906,N1,N1,48,0,0,0,0,0,0,0,0,0,0,U,0.000,0,0,0,0,1906-07-04,1906-07-05,1906-07-07,1906-07-07,0.078,1.806,*,*,*,*,*,*,*,"1, 7, 8, 9"
Rothamsted,1U,1,*,U,1903.000,1c 1 d,1965,*,*,1907,N1,N1,48,0,0,0,0,0,0,0,0,0,0,U,0.000,0,0,0,0,1907-07-15,1907-07-15,1907-07-18,1907-07-18,0.039,3.535,*,1907-10-05,1907-10-07,1907-10-28,1907-10-28,0.078,0.534,"1, 7, 8, 9"
Rothamsted,1U,1,*,U,1903.000,1c 1 d,1965,*,*,1908,N1,N1,48,0,0,0,0,0,0,0,0,0,0,U,0.000,0,0,0,0,1908-06-23,1908-06-23,1908-06-26,1908-06-26,0.039,2.056,*,1908-09-29,1908-09-29,1908-10-02,1908-10-02,0.078,0.507,"1, 7, 8, 9"
Rothamsted,1U,1,*,U,1903.000,1c 1 d,1965,*,*,1909,N1,N1,48,0,0,0,0,0,0,0,0,0,0,U,0.000,0,0,0,0,1909-07-03,1909-07-03,1909-07-09,1909-07-09,0.039,1.182,*,1909-10-29,1909-10-30,1909-11-01,1909-11-01,0.078,0.750,"1, 7, 8"
Rothamsted,1U,1,*,U,1903.000,1c 1 d,1965,*,*,1910,N1,N1,48,0,0,0,0,0,0,0,0,0,0,U,0.000,0,0,0,0,1910-06-22,1910-06-24,1910-07-11,1910-07-11,0.039,2.024,*,1910-11-15,1910-11-17,1910-11-19,1910-11-19,0.078,0.470,"1, 7, 8"
Rothamsted,1U,1,*,U,1903.000,1c 1 d,1965,*,*,1911,N1,N1,48,0,0,0,0,0,0,0,0,0,0,U,0.000,0,0,0,0,1911-06-30,1911-07-01,1911-07-05,1911-07-05,0.039,2.182,*,*,*,*,*,*,*,"1, 7, 8"
Rothamsted,1U,1,*,U,1903.000,1c 1 d,1965,*,*,1912,N1,N1,48,0,0,0,0,0,0,0,0,0,0,U,0.000,0,0,0,0,1912-06-19,1912-06-19,1912-06-24,1912-06-24,0.039,1.337,*,1912-09-10,1912-09-11,1912-09-21,1912-09-21,0.078,1.011,"1, 7, 8"
Rothamsted,1U,1,*,U,1903.000,1c 1 d,1965,*,*,1913,N1,N1,48,0,0,0,0,0,0,0,0,0,0,U,0.000,0,0,0,0,1913-06-25,1913-06-25,1913-06-30,1913-06-30,0.039,2.989,*,1913-09-11,1913-09-12,1913-09-18,1913-09-18,0.078,0.240,"1, 7, 8"
