year,block,main_plot,fym_factor_level,rotation_type,rotation_factor_level,phase_number,test_or_treatment,crop_name,crop_code,crop_variety,management_note_id,note_id
2017,3,38,FYM,3-yr grass with N ley-arable after 8-yr grass leys,LLn/Ln3,5,2nd test crop,winter rye,R,Mephisto,*,*
2018,3,38,FYM,3-yr grass with N ley-arable after 8-yr grass leys,LLn/Ln3,1,1st year ley treatment,grass ley with N,Ln1,Promesse timothy; Laura meadow fescue,10.000,*
2019,3,38,FYM,3-yr grass with N ley-arable after 8-yr grass leys,LLn/Ln3,2,2nd year ley treatment,grass ley with N,Ln2,Promesse timothy; Laura meadow fescue,10.000,*
2020,3,38,FYM,3-yr grass with N ley-arable after 8-yr grass leys,LLn/Ln3,3,3rd year ley treatment,grass ley with N,Ln3,Promesse timothy; Laura meadow fescue,10.000,*
1938,3,39,FYM,arable,Ar,1,1st treatment crop,potatoes,P,Majestic,*,*
1939,3,39,FYM,arable,Ar,2,2nd treatment crop,winter wheat,W,Red Standard,*,*
1940,3,39,FYM,arable,Ar,3,3rd treatment crop,kale,K,Thousand Head,*,*
1941,3,39,FYM,arable,Ar,4,1st test crop,potatoes,P,Majestic,*,*
1942,3,39,FYM,arable,Ar,5,2nd test crop,spring barley,B,Plumage Archer,*,*
1943,3,39,FYM,arable,Ar,1,1st treatment crop,potatoes,P,Majestic,*,*
1944,3,39,FYM,arable,Ar,2,2nd treatment crop,winter wheat,W,Red Standard,*,*
1945,3,39,FYM,arable,Ar,3,3rd treatment crop,sugar beet,SBe,Klein E,*,*
1946,3,39,FYM,arable,Ar,4,1st test crop,potatoes,P,Majestic,*,*
1947,3,39,FYM,arable,Ar,5,2nd test crop,spring barley,B,Plumage Archer,*,*
1948,3,39,FYM,arable,Ar,1,1st treatment crop,potatoes,P,Majestic,*,*
1949,3,39,FYM,arable,Ar,2,2nd treatment crop,winter rye,R,King II,*,*
1950,3,39,FYM,arable,Ar,3,3rd treatment crop,sugar beet,SBe,Klein E,*,*
