harvest_year,plot,sub_plot,sub_sub_plot,fertilizer_code,lime_factor_level,fym_factor_level,fym_amount,fym_n,rape_cake_factor_level,rape_cake_n,n_factor_level,fertilizer_n_amount,p_factor_level,p_amount,k_factor_level,k_amount,na_factor_level,na_amount,mg_factor_level,mg_amount,pH,percent_c,percent_n,c_n_ratio,exch_ca,total_p,org_p_ignition,org_p_extraction,note_id
1927,1,*,*,Nil,L0,nil,0.000,0,nil,0,nil,0,nil,0,nil,0,nil,0,nil,0,5.500,0.960,0.094,10.213,740.000,648.000,238.000,172.000,4
1927,2,a,i,Nil,L0,nil,0.000,0,nil,0,nil,0,nil,0,nil,0,nil,0,nil,0,4.500,0.920,0.098,9.388,180.000,728.000,268.000,146.000,4
1927,2,a,ii,Nil,L1,nil,0.000,0,nil,0,nil,0,nil,0,nil,0,nil,0,nil,0,5.100,1.020,0.106,9.623,740.000,728.000,268.000,146.000,4
1927,2,b,i,Nil,L3,nil,0.000,0,nil,0,nil,0,nil,0,nil,0,nil,0,nil,0,5.800,0.920,0.098,9.388,880.000,728.000,268.000,146.000,4
1927,2,b,ii,Nil,L3,nil,0.000,0,nil,0,nil,0,nil,0,nil,0,nil,0,nil,0,5.800,0.980,0.103,9.515,1160.000,728.000,268.000,146.000,4
1927,3,a,i,Nil,L0,nil,0.000,0,nil,0,nil,0,nil,0,nil,0,nil,0,nil,0,5.900,1.040,0.105,9.905,1040.000,708.000,260.000,180.000,4
1927,3,a,ii,Nil,L2,nil,0.000,0,nil,0,nil,0,nil,0,nil,0,nil,0,nil,0,6.200,1.010,0.105,9.619,1300.000,708.000,260.000,180.000,4
1927,3,b,i,Nil,L0,nil,0.000,0,nil,0,nil,0,nil,0,nil,0,nil,0,nil,0,5.800,1.020,0.106,9.623,960.000,708.000,260.000,180.000,4
1927,3,b,ii,Nil,L2,nil,0.000,0,nil,0,nil,0,nil,0,nil,0,nil,0,nil,0,6.500,1.030,0.103,10.000,1360.000,708.000,260.000,180.000,4
1927,4,a,*,Nil,L0,nil,0.000,0,nil,0,nil,0,nil,0,nil,0,nil,0,nil,0,6.000,0.880,0.890,0.989,1000.000,956.000,276.000,216.000,4
1927,4,b,*,Nil,L1,nil,0.000,0,nil,0,nil,0,nil,0,nil,0,nil,0,nil,0,5.500,0.890,0.090,9.889,740.000,956.000,276.000,216.000,4
1927,5,a,i,Nil,L0,nil,0.000,0,nil,0,nil,0,nil,0,nil,0,nil,0,nil,0,4.800,1.020,0.100,10.200,280.000,936.000,291.000,188.000,4
1927,5,a,ii,Nil,L2,nil,0.000,0,nil,0,nil,0,nil,0,nil,0,nil,0,nil,0,5.400,0.890,0.092,9.674,700.000,936.000,291.000,188.000,4
1927,5,b,*,Nil,L3,nil,0.000,0,nil,0,nil,0,nil,0,nil,0,nil,0,nil,0,6.100,0.980,0.102,9.608,1100.000,936.000,291.000,188.000,4
1927,6,*,*,Nil,L0,nil,0.000,0,nil,0,nil,0,nil,0,nil,0,nil,0,nil,0,5.800,1.050,0.109,9.633,1000.000,928.000,286.000,206.000,4
1927,7,*,*,Nil,L0,nil,0.000,0,nil,0,nil,0,nil,0,nil,0,nil,0,nil,0,5.400,0.880,0.093,9.462,760.000,688.000,255.000,212.000,4
1927,8,a,i,Nil,L0,nil,0.000,0,nil,0,nil,0,nil,0,nil,0,nil,0,nil,0,4.800,0.960,0.098,9.796,500.000,956.000,285.000,236.000,4
1927,8,a,ii,Nil,L3,nil,0.000,0,nil,0,nil,0,nil,0,nil,0,nil,0,nil,0,5.900,0.980,0.097,10.103,920.000,956.000,285.000,236.000,4
1927,8,b,i,Nil,L0,nil,0.000,0,nil,0,nil,0,nil,0,nil,0,nil,0,nil,0,4.700,0.950,0.102,9.314,380.000,956.000,285.000,236.000,4
